"","X","token","tag","lemma","pos","category","funct","case","pers","num","gender","tense","mode"
"10164",10164,"es","PRO.Pers.Subst.3.Nom.Sg.Neut","sie","PRO","Pers","Subst","Nom",3,"Sg","Neut",NA,NA
"10165",10165,"anders","ADV","anders","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10166",10166,"seyn","VINF.Full","seyn","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10168",10168,"?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10171",10171,"Hast","VFIN.Aux.2.Sg.Pres.Ind","haben","VFIN","Aux",NA,NA,2,"Sg",NA,"Pres","Ind"
"10172",10172,"du","PRO.Pers.Subst.2.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",2,"Sg",NA,NA,NA
"10173",10173,"nichts","PRO.Indef.Attr.*.*.Neut","nichts","PRO","Indef","Attr",NA,NA,NA,"Neut",NA,NA
"10174",10174,"genaues","ADJA.Pos.Acc.Sg.Neut","genau","ADJA","Pos",NA,"Acc",NA,"Sg","Neut",NA,NA
"10175",10175,"davon","PROADV.Dem","davon","PROADV","Dem",NA,NA,NA,NA,NA,NA,NA
"10176",10176,"bemerket","VFIN.Full.2.Pl.Pres.Subj","bemerken","VFIN","Full",NA,NA,2,"Pl",NA,"Pres","Subj"
"10178",10178,"?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10181",10181,"[","SYM.Paren.Left","[","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"10183",10183,"29","CARD","29","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"10185",10185,"]","SYM.Paren.Right","]","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"10186",10186,"Parmenio","FM","Parmenio","FM",NA,NA,NA,NA,NA,NA,NA,NA
"10188",10188,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10191",10191,"Er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"10192",10192,"wollte","VFIN.Mod.3.Sg.Past.Ind","wollen","VFIN","Mod",NA,NA,3,"Sg",NA,"Past","Ind"
"10193",10193,"nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"10195",10195,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10196",10196,"daß","CONJ.SubFin","dass","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"10197",10197,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10198",10198,"vernünfteln","VINF.Full","vernünfteln","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10199",10199,"sollte","VFIN.Mod.1.Sg.Past.Ind","sollen","VFIN","Mod",NA,NA,1,"Sg",NA,"Past","Ind"
"10201",10201,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10204",10204,"Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10205",10205,"solte","VFIN.Full.1.Sg.Past.Ind","solte","VFIN","Full",NA,NA,1,"Sg",NA,"Past","Ind"
"10206",10206,"nur","ADV","nur","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10207",10207,"behalten","VINF.Full","behalten","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10209",10209,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10210",10210,"was","PRO.Inter.Subst.Acc.Sg.Neut","was","PRO","Inter","Subst","Acc",NA,"Sg","Neut",NA,NA
"10211",10211,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"10212",10212,"mir","PRO.Pers.Subst.1.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",1,"Sg",NA,NA,NA
"10213",10213,"vorsagte","VFIN.Full.3.Sg.Past.Ind","vorsagen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"10215",10215,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10216",10216,"damit","CONJ.SubFin","damit","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"10217",10217,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10218",10218,"es","PRO.Pers.Subst.3.Acc.Sg.Neut","sie","PRO","Pers","Subst","Acc",3,"Sg","Neut",NA,NA
"10219",10219,"wieder","ADV","wieder","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10220",10220,"sagen","VINF.Full","sagen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10221",10221,"könnte","VFIN.Mod.1.Sg.Past.Subj","können","VFIN","Mod",NA,NA,1,"Sg",NA,"Past","Subj"
"10223",10223,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10226",10226,"Er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"10227",10227,"untersagte","VFIN.Full.3.Sg.Past.Ind","untersagen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"10228",10228,"mir","PRO.Pers.Subst.1.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",1,"Sg",NA,NA,NA
"10229",10229,"Gründe","N.Reg.Acc.Pl.Masc","Grund","N","Reg",NA,"Acc",NA,"Pl","Masc",NA,NA
"10230",10230,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"10231",10231,"fragen","VINF.Full","fragen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10233",10233,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10236",10236,"Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10237",10237,"sollte","VFIN.Mod.1.Sg.Past.Ind","sollen","VFIN","Mod",NA,NA,1,"Sg",NA,"Past","Ind"
"10238",10238,"blindings","ADJD.Pos","blindings","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"10239",10239,"gehorsamen","ADJA.Pos.Acc.Pl.Fem","gehorsam","ADJA","Pos",NA,"Acc",NA,"Pl","Fem",NA,NA
"10241",10241,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10244",10244,"Polemon","N.Reg.Nom.Sg.Neut","Polemon","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"10246",10246,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10249",10249,"Hast","VFIN.Aux.2.Sg.Pres.Ind","haben","VFIN","Aux",NA,NA,2,"Sg",NA,"Pres","Ind"
"10250",10250,"du","PRO.Pers.Subst.2.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",2,"Sg",NA,NA,NA
"10251",10251,"dir","PRO.Pers.Subst.2.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",2,"Sg",NA,NA,NA
"10252",10252,"so","ADV","so","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10253",10253,"den","ART.Def.Acc.Sg.Masc","die","ART","Def",NA,"Acc",NA,"Sg","Masc",NA,NA
"10254",10254,"Gebrauch","N.Reg.Acc.Sg.Masc","Gebrauch","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"10255",10255,"deiner","PRO.Poss.Attr.Gen.Sg.Fem","deine","PRO","Gen","Attr","Gen",NA,"Sg","Fem",NA,NA
"10256",10256,"Vernunft","N.Reg.Gen.Sg.Fem","Vernunft","N","Gen",NA,"Gen",NA,"Sg","Fem",NA,NA
"10257",10257,"nehmen","VINF.Full","nehmen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10258",10258,"lassen","VINF.Full","lassen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10260",10260,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10261",10261,"Soldat","N.Reg.Nom.Sg.Masc","Soldat","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"10263",10263,"?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10266",10266,"Parmenio","N.Name.Nom.Sg.Neut","Parmenio","N","Name",NA,"Nom",NA,"Sg","Neut",NA,NA
"10268",10268,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10271",10271,"Als","CONJ.SubFin","als","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"10272",10272,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10273",10273,"ein","ART.Indef.*.*.*","eine","ART","Indef",NA,NA,NA,NA,NA,NA,NA
"10274",10274,"wenig","PRO.Indef.Attr.*.*.*","wenig","PRO","Indef","Attr",NA,NA,NA,NA,NA,NA
"10275",10275,"empfindlich","ADJD.Pos","empfindlich","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"10276",10276,"darüber","PROADV.Dem","darüber","PROADV","Dem",NA,NA,NA,NA,NA,NA,NA
"10277",10277,"ward","VFIN.Full.3.Sg.Past.Ind","werden","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"10279",10279,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10280",10280,"so","ADV","so","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10281",10281,"wußte","VFIN.Full.3.Sg.Past.Ind","wissen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"10282",10282,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"10283",10283,"mir","PRO.Pers.Subst.1.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",1,"Sg",NA,NA,NA
"10284",10284,"so","ADV","so","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10285",10285,"süsse","ADJA.Pos.Acc.Pl.Neut","süß","ADJA","Pos",NA,"Acc",NA,"Pl","Neut",NA,NA
"10286",10286,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"10287",10287,"schmeicheln","VINF.Full","schmeicheln","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10289",10289,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10290",10290,"als","CONJ.Comp","als","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"10291",10291,"ob","CONJ.SubFin","ob","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"10292",10292,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"10293",10293,"mich","PRO.Pers.Subst.1.Acc.Sg.*","sie","PRO","Pers","Subst","Acc",1,"Sg",NA,NA,NA
"10294",10294,"mit","APPR","mit","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"10295",10295,"Schmeicheleyen","N.Reg.Dat.Pl.Masc","Schmeicheleyen","N","Reg",NA,"Dat",NA,"Pl","Masc",NA,NA
"10296",10296,"bestechen","VINF.Full","bestechen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10297",10297,"wollte","VFIN.Mod.1.Sg.Past.Ind","wollen","VFIN","Mod",NA,NA,1,"Sg",NA,"Past","Ind"
"10299",10299,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10302",10302,"Er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"10303",10303,"bekam","VFIN.Full.3.Sg.Past.Ind","bekommen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"10304",10304,"mich","PRO.Pers.Subst.1.Acc.Sg.*","sie","PRO","Pers","Subst","Acc",1,"Sg",NA,NA,NA
"10305",10305,"[","SYM.Paren.Left","[","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"10307",10307,"30","CARD","30","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"10309",10309,"]","SYM.Paren.Right","]","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"10310",10310,"ganz","ADJD.Pos","ganz","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"10312",10312,";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10313",10313,"bald","ADV","bald","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10314",10314,"trauete","VFIN.Full.1.Sg.Past.Ind","trauete","VFIN","Full",NA,NA,1,"Sg",NA,"Past","Ind"
"10315",10315,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10316",10316,"mir","PRO.Refl.Subst.1.Dat.Sg.*","sie","PRO","Refl","Subst","Dat",1,"Sg",NA,NA,NA
"10317",10317,"selbst","ADV","selbst","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10318",10318,"nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"10319",10319,"mehr","ADV","mehr","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10321",10321,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10324",10324,"Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10325",10325,"mußte","VFIN.Mod.1.Sg.Past.Ind","müssen","VFIN","Mod",NA,NA,1,"Sg",NA,"Past","Ind"
"10326",10326,"ihm","PRO.Pers.Subst.3.Dat.Sg.Masc","sie","PRO","Pers","Subst","Dat",3,"Sg","Masc",NA,NA
"10327",10327,"schwören","VINF.Full","schwören","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10329",10329,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10330",10330,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"10331",10331,"machen","VINF.Full","machen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10333",10333,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10334",10334,"daß","CONJ.SubFin","dass","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"10335",10335,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"10336",10336,"erst","ADV","erst","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10337",10337,"morgen","ADV","morgen","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10338",10338,"sollte","VFIN.Mod.3.Sg.Past.Ind","sollen","VFIN","Mod",NA,NA,3,"Sg",NA,"Past","Ind"
"10339",10339,"ausgelößt","VPP.Full.Psp","ausgelößt","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"10340",10340,"werden","VINF.Aux","werden","VINF","Aux",NA,NA,NA,NA,NA,NA,NA
"10342",10342,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10345",10345,"Warum","PROADV.Inter","warum","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"10346",10346,"zwar","ADV","zwar","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10347",10347,"erst","ADV","erst","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10348",10348,"morgen","ADV","morgen","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10350",10350,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10351",10351,"das","PRO.Dem.Subst.Acc.Sg.Neut","die","PRO","Dem","Subst","Acc",NA,"Sg","Neut",NA,NA
"10352",10352,"weiß","VFIN.Full.1.Sg.Pres.Ind","wissen","VFIN","Full",NA,NA,1,"Sg",NA,"Pres","Ind"
"10353",10353,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10354",10354,"nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"10356",10356,";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10357",10357,"das","PRO.Dem.Subst.Nom.Sg.Neut","die","PRO","Dem","Subst","Nom",NA,"Sg","Neut",NA,NA
"10358",10358,"verlangte","VFIN.Full.3.Sg.Past.Ind","verlangen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"10359",10359,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10360",10360,"auch","ADV","auch","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10361",10361,"nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"10362",10362,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"10363",10363,"wissen","VINF.Full","wissen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10365",10365,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10368",10368,"Genug","ADV","genug","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10370",10370,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10371",10371,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10372",10372,"wußte","VFIN.Full.1.Sg.Past.Ind","wissen","VFIN","Full",NA,NA,1,"Sg",NA,"Past","Ind"
"10373",10373,"daß","CONJ.SubFin","dass","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"10374",10374,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"10375",10375,"es","PRO.Pers.Subst.3.Acc.Sg.Neut","sie","PRO","Pers","Subst","Acc",3,"Sg","Neut",NA,NA
"10376",10376,"so","ADV","so","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10377",10377,"wollte","VFIN.Mod.1.Sg.Past.Ind","wollen","VFIN","Mod",NA,NA,1,"Sg",NA,"Past","Ind"
"10379",10379,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10380",10380,"und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"10381",10381,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10382",10382,"wollte","VFIN.Mod.1.Sg.Past.Ind","wollen","VFIN","Mod",NA,NA,1,"Sg",NA,"Past","Ind"
"10383",10383,"alles","PRO.Indef.Subst.Acc.Sg.Neut","alle","PRO","Indef","Subst","Acc",NA,"Sg","Neut",NA,NA
"10384",10384,"was","PRO.Rel.Subst.Acc.Sg.Neut","was","PRO","Rel","Subst","Acc",NA,"Sg","Neut",NA,NA
"10385",10385,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"10386",10386,"wollte","VFIN.Mod.1.Sg.Past.Ind","wollen","VFIN","Mod",NA,NA,1,"Sg",NA,"Past","Ind"
"10388",10388,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10391",10391,"Hätte","VFIN.Full.3.Sg.Past.Subj","haben","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Subj"
"10392",10392,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"10393",10393,"mir","PRO.Pers.Subst.1.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",1,"Sg",NA,NA,NA
"10394",10394,"ein","ART.Indef.Acc.Sg.Neut","eine","ART","Indef",NA,"Acc",NA,"Sg","Neut",NA,NA
"10395",10395,"Verbrechen","N.Reg.Acc.Sg.Neut","Verbrechen","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"10397",10397,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10398",10398,"ein","ART.Indef.Acc.Sg.Neut","eine","ART","Indef",NA,"Acc",NA,"Sg","Neut",NA,NA
"10399",10399,"Bubenstük","N.Reg.Acc.Sg.Neut","Bubenstük","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"10400",10400,"befohlen","VPP.Full.Psp","befehlen","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"10402",10402,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10403",10403,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10404",10404,"hätte","VFIN.Aux.1.Sg.Past.Subj","haben","VFIN","Aux",NA,NA,1,"Sg",NA,"Past","Subj"
"10405",10405,"es","PRO.Pers.Subst.3.Acc.Sg.Neut","sie","PRO","Pers","Subst","Acc",3,"Sg","Neut",NA,NA
"10406",10406,"begangen","VPP.Full.Psp","begehen","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"10408",10408,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10411",10411,"Polemon","N.Reg.Nom.Sg.Neut","Polemon","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"10413",10413,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10416",10416,"So","ADV","so","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10417",10417,"viel","PRO.Indef.Attr.*.*.*","viel","PRO","Indef","Attr",NA,NA,NA,NA,NA,NA
"10418",10418,"Umstände","N.Reg.Nom.Pl.Masc","Umstand","N","Reg",NA,"Nom",NA,"Pl","Masc",NA,NA
"10419",10419,"wegen","APPR","wegen","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"10420",10420,"einer","ART.Indef.*.Sg.Fem","eine","ART","Indef",NA,NA,NA,"Sg","Fem",NA,NA
"10421",10421,"Kleinigkeit","N.Reg.*.Sg.Fem","Kleinigkeit","N","Reg",NA,NA,NA,"Sg","Fem",NA,NA
"10422",10422,"mir","PRO.Pers.Subst.1.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",1,"Sg",NA,NA,NA
"10423",10423,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"10424",10424,"sagen","VINF.Full","sagen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10426",10426,";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10427",10427,"mich","PRO.Pers.Subst.1.Acc.Sg.*","sie","PRO","Pers","Subst","Acc",1,"Sg",NA,NA,NA
"10428",10428,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"10429",10429,"überreden","VINF.Full","überreden","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10431",10431,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10432",10432,"daß","CONJ.SubFin","dass","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"10433",10433,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10434",10434,"ihn","PRO.Pers.Subst.3.Acc.Sg.Masc","sie","PRO","Pers","Subst","Acc",3,"Sg","Masc",NA,NA
"10435",10435,"erst","ADV","erst","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10436",10436,"morgen","ADV","morgen","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10437",10437,"auswechseln","VINF.Full","auswechseln","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10438",10438,"sollte","VFIN.Mod.1.Sg.Past.Ind","sollen","VFIN","Mod",NA,NA,1,"Sg",NA,"Past","Ind"
"10440",10440,":","SYM.Pun.Colon",":","SYM","Pun",NA,NA,NA,NA,NA,NA,NA
"10441",10441,"[","SYM.Paren.Left","[","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"10443",10443,"31","CARD","31","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"10445",10445,"]","SYM.Paren.Right","]","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"10446",10446,"Gewiß","PART.Ans","Gewiß","PART","Ans",NA,NA,NA,NA,NA,NA,NA
"10447",10447,"schweigest","VFIN.Full.2.Sg.Past.Ind","schweigest","VFIN","Full",NA,NA,2,"Sg",NA,"Past","Ind"
"10448",10448,"du","PRO.Pers.Subst.2.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",2,"Sg",NA,NA,NA
"10449",10449,"mir","PRO.Pers.Subst.1.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",1,"Sg",NA,NA,NA
"10450",10450,"mehr","ADV","mehr","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"10452",10452,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10453",10453,"als","CONJ.Comp","als","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"10454",10454,"du","PRO.Pers.Subst.2.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",2,"Sg",NA,NA,NA
"10455",10455,"weist","VFIN.Full.3.Sg.Pres.Ind","weisen","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"10457",10457,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"10460",10460,"Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"10461",10461,"will","VFIN.Mod.1.Sg.Pres.Ind","wollen","VFIN","Mod",NA,NA,1,"Sg",NA,"Pres","Ind"
"10462",10462,"versuchen","VINF.Full","versuchen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"10464",10464,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10465",10465,"ob","CONJ.SubFin","ob","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"10466",10466,"meine","PRO.Poss.Attr.Nom.Pl.*","meine","PRO","Poss","Attr","Nom",NA,"Pl",NA,NA,NA
"10467",10467,"Drohungen","N.Reg.Nom.Pl.Fem","Drohung","N","Reg",NA,"Nom",NA,"Pl","Fem",NA,NA
"10468",10468,"weniger","PRO.Indef.Subst.*.*.*","weniger","PRO","Indef","Subst",NA,NA,NA,NA,NA,NA
"10469",10469,"vermögen","VFIN.Full.3.Pl.Pres.Ind","vermögen","VFIN","Full",NA,NA,3,"Pl",NA,"Pres","Ind"
"10471",10471,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"10472",10472,"als","CONJ.Comp","als","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"10473",10473,"seine","PRO.Poss.Attr.Acc.Pl.Fem","seine","PRO","Poss","Attr","Acc",NA,"Pl","Fem",NA,NA
"10474",10474,"Schmeicheleyen","N.Reg.Acc.Pl.Fem","Schmeicheleyen","N","Reg",NA,"Acc",NA,"Pl","Fem",NA,NA
"10476",10476,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
