"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"3036","ihm","PRO.Pers.Subst.3.Dat.Sg.*","PRO","Pers","Subst","Dat","3","Sg",NA,NA,NA
"3037","mehr","PRO.Indef.Subst.-.*.*.*","PRO","Indef","Subst",NA,NA,NA,NA,NA,NA
"3038","als","CONJ.Comp.-","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"3039","Vorschläge","N.Reg.Nom.Pl.Masc","N","Reg",NA,"Nom",NA,"Pl","Masc",NA,NA
"3040","zur","APPRART.Dat.Sg.Fem","APPRART",NA,NA,"Dat",NA,"Sg","Fem",NA,NA
"3041","Auswechslung","N.Reg.Dat.Sg.Fem","N","Reg",NA,"Dat",NA,"Sg","Fem",NA,NA
"3042","einzelner","ADJA.Pos.Gen.Pl.Fem","ADJA","Gen",NA,"Gen",NA,"Pl","Fem",NA,NA
"3043","Personen","N.Reg.Gen.Pl.Fem","N","Gen",NA,"Gen",NA,"Pl","Fem",NA,NA
"3044",";","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3045","Vorschläge","N.Reg.Nom.Pl.Masc","N","Reg",NA,"Nom",NA,"Pl","Masc",NA,NA
"3046",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3047","die","PRO.Rel.Subst.-.Nom.Pl.Masc","PRO","Rel","Subst","Nom",NA,"Pl","Masc",NA,NA
"3048","Wafen","N.Reg.Acc.Pl.Fem","N","Reg",NA,"Acc",NA,"Pl","Fem",NA,NA
"3049","niederzulegen","VINF.Full.zu","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"3050",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3051","[","SYM.Paren.Left","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"3052","37","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"3053","]","SYM.Paren.Right","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"3054","und","CONJ.Coord.-","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"3055","das","ART.Def.Acc.Sg.Neut","ART","Def",NA,"Acc",NA,"Sg","Neut",NA,NA
"3056","Blut","N.Reg.Acc.Sg.Neut","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"3057","der","ART.Def.Gen.Pl.Masc","ART","Gen",NA,"Gen",NA,"Pl","Masc",NA,NA
"3058","Menschen","N.Reg.Gen.Pl.Masc","N","Gen",NA,"Gen",NA,"Pl","Masc",NA,NA
"3059","zu","PART.Zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"3060","schonen","VINF.Full.-","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"3061",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3062","Sage","VFIN.Full.3.Sg.Pres.Subj","VFIN","Full",NA,NA,"3","Sg",NA,"Pres","Subj"
"3063","mir","PRO.Pers.Subst.1.Dat.Sg.*","PRO","Pers","Subst","Dat","1","Sg",NA,NA,NA
"3064","indessen","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"3065",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3066","wie","PROADV.Inter","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"3067","hat","VFIN.Haben.3.Sg.Pres.Ind","VFIN",NA,NA,NA,"3","Sg",NA,"Pres","Ind"
"3068","Philotas","N.Name.Nom.Sg.*","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"3069","seine","PRO.Poss.Attr.-.Acc.Sg.Fem","PRO","Poss","Attr","Acc",NA,"Sg","Fem",NA,NA
"3070","Gefangenschaft","N.Reg.Acc.Sg.Fem","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"3071","ertragen","VPP.Full.Psp","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"3072","?","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3073","Heerold","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"3074",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3075","Als","CONJ.Comp.-","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"3076","den","ART.Def.Acc.Sg.Masc","ART","Def",NA,"Acc",NA,"Sg","Masc",NA,NA
"3077","Gipfel","N.Reg.Acc.Sg.Masc","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"3078","der","ART.Def.Gen.Sg.Fem","ART","Gen",NA,"Gen",NA,"Sg","Fem",NA,NA
"3079","Schande","N.Reg.Gen.Sg.Fem","N","Gen",NA,"Gen",NA,"Sg","Fem",NA,NA
"3080",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3081","die","PRO.Rel.Subst.-.Nom.Sg.Fem","PRO","Rel","Subst","Nom",NA,"Sg","Fem",NA,NA
"3082","einen","ART.Indef.Acc.Sg.Masc","ART","Indef",NA,"Acc",NA,"Sg","Masc",NA,NA
"3083","Krieger","N.Reg.Acc.Sg.Masc","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"3084","betrefen","VINF.Full.-","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"3085","könnte","VFIN.Mod.3.Sg.Past.Subj","VFIN","Mod",NA,NA,"3","Sg",NA,"Past","Subj"
"3086",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"3087","Er","PRO.Pers.Subst.3.Nom.Sg.Masc","PRO","Pers","Subst","Nom","3","Sg","Masc",NA,NA
"3088","hätte","VFIN.Haben.3.Sg.Past.Subj","VFIN",NA,NA,NA,"3","Sg",NA,"Past","Subj"
"3089","seine","PRO.Poss.Attr.-.Acc.Sg.Fem","PRO","Poss","Attr","Acc",NA,"Sg","Fem",NA,NA
